Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.trust.json	9699	-	0	0	0	0	0	0	10	154	0	0	0	0	0	0	0	1	0	0	151	90	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-COSEHeader.json	1581	31	1	0	0	1	0	16	1	75	0	0	1	0	0	0	0	0	0	0	46	792	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-CWT.json	1867	27	0	0	0	0	0	22	0	73	0	0	0	0	0	0	0	0	0	0	58	229	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-CWTPayload.json	2232	26	0	0	0	0	0	56	0	56	0	0	0	0	0	0	0	0	0	0	59	174	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-HCert.json	3238	29	1	0	0	0	0	42	0	61	0	0	0	0	0	0	0	0	0	0	57	156	0	1	0	1	0	1
